well_id,timestamp,split,score,lof_raw
129л,2025-12-01 04:12:00,test,0.9897440075874329,0.9897440075874329
129л,2025-12-01 04:14:00,test,0.9936049580574036,0.9936049580574036
129л,2025-12-01 04:16:00,test,0.9924544095993042,0.9924544095993042
129л,2025-12-01 04:18:00,test,0.994156539440155,0.994156539440155
129л,2025-12-01 04:20:00,test,0.9986642003059387,0.9986642003059387
129л,2025-12-01 04:22:00,test,0.9926180243492126,0.9926180243492126
129л,2025-12-01 04:24:00,test,1.001869797706604,1.001869797706604
129л,2025-12-01 04:26:00,test,0.9923290610313416,0.9923290610313416
129л,2025-12-01 04:28:00,test,1.0025107860565186,1.0025107860565186
129л,2025-12-01 04:30:00,test,0.9990212321281433,0.9990212321281433
129л,2025-12-01 04:32:00,test,0.9970186352729797,0.9970186352729797
129л,2025-12-01 04:34:00,test,1.0162060260772705,1.0162060260772705
129л,2025-12-01 04:36:00,test,1.0048918724060059,1.0048918724060059
129л,2025-12-01 04:38:00,test,1.0092445611953735,1.0092445611953735
129л,2025-12-01 04:40:00,test,1.0109957456588745,1.0109957456588745
129л,2025-12-01 04:42:00,test,1.0202884674072266,1.0202884674072266
129л,2025-12-01 04:44:00,test,1.0126171112060547,1.0126171112060547
129л,2025-12-01 04:46:00,test,1.0144169330596924,1.0144169330596924
129л,2025-12-01 04:48:00,test,1.0164759159088135,1.0164759159088135
129л,2025-12-01 04:50:00,test,1.0236804485321045,1.0236804485321045
129л,2025-12-01 04:52:00,test,1.0437145233154297,1.0437145233154297
129л,2025-12-01 04:54:00,test,1.0240479707717896,1.0240479707717896
129л,2025-12-01 04:56:00,test,1.0390872955322266,1.0390872955322266
129л,2025-12-01 04:58:00,test,1.0998120307922363,1.0998120307922363
129л,2025-12-01 05:00:00,test,1.0841525793075562,1.0841525793075562
129л,2025-12-01 05:02:00,test,1.115915060043335,1.115915060043335
129л,2025-12-01 05:04:00,test,1.0910756587982178,1.0910756587982178
129л,2025-12-01 05:06:00,test,1.1008965969085693,1.1008965969085693
129л,2025-12-01 05:08:00,test,1.1136913299560547,1.1136913299560547
129л,2025-12-01 05:10:00,test,1.107029676437378,1.107029676437378
