well_id,timestamp,split,score,paano_short,paano_long,paano_fused
129л,2025-12-01 03:22:00,test,0.012537584640085697,0.015579949133098125,0.0034104937221854925,0.012537584640085697
129л,2025-12-01 03:24:00,test,0.012541747651994228,0.015584147535264492,0.0034145487006753683,0.012541747651994228
129л,2025-12-01 03:26:00,test,0.012540841475129128,0.015583244152367115,0.0034136332105845213,0.012540841475129128
129л,2025-12-01 03:28:00,test,0.012536466121673584,0.015579313039779663,0.0034079242032021284,0.012536466121673584
129л,2025-12-01 03:30:00,test,0.012543797492980957,0.015592171810567379,0.0033986771013587713,0.012543797492980957
129л,2025-12-01 03:32:00,test,0.0125403618440032,0.015592855401337147,0.003382879076525569,0.0125403618440032
129л,2025-12-01 03:34:00,test,0.012514805421233177,0.015565162524580956,0.003363735741004348,0.012514805421233177
129л,2025-12-01 03:36:00,test,0.012523863464593887,0.01558222621679306,0.003348773345351219,0.012523863464593887
129л,2025-12-01 03:38:00,test,0.012599251233041286,0.01568414270877838,0.003344576107338071,0.012599251233041286
129л,2025-12-01 03:40:00,test,0.012732695788145065,0.015862910076975822,0.0033420538529753685,0.012732695788145065
129л,2025-12-01 03:42:00,test,0.01283574104309082,0.01600159890949726,0.0033381644170731306,0.01283574104309082
129л,2025-12-01 03:44:00,test,0.012889986857771873,0.01607595570385456,0.0033320770598948,0.012889986857771873
129л,2025-12-01 03:46:00,test,0.012885862961411476,0.016073890030384064,0.0033217836171388626,0.012885862961411476
129л,2025-12-01 03:48:00,test,0.012859616428613663,0.01604503020644188,0.0033033734653145075,0.012859616428613663
129л,2025-12-01 03:50:00,test,0.01262630894780159,0.015739968046545982,0.003285332815721631,0.01262630894780159
129л,2025-12-01 03:52:00,test,0.012446838431060314,0.015507341362535954,0.00326532986946404,0.012446838431060314
129л,2025-12-01 03:54:00,test,0.012324601411819458,0.015351465903222561,0.003244009567424655,0.012324601411819458
129л,2025-12-01 03:56:00,test,0.012263399548828602,0.01527602318674326,0.00322552677243948,0.012263399548828602
129л,2025-12-01 03:58:00,test,0.01219429075717926,0.01518902089446783,0.0032101005781441927,0.01219429075717926
129л,2025-12-01 04:00:00,test,0.01214081235229969,0.015121359378099442,0.003199169645085931,0.01214081235229969
129л,2025-12-01 04:02:00,test,0.012099605053663254,0.015069958753883839,0.0031885437201708555,0.012099605053663254
129л,2025-12-01 04:04:00,test,0.012031279504299164,0.014982257969677448,0.0031783445738255978,0.012031279504299164
129л,2025-12-01 04:06:00,test,0.01193276233971119,0.014856196008622646,0.003162461332976818,0.01193276233971119
129л,2025-12-01 04:08:00,test,0.011817228980362415,0.01470815110951662,0.003144460264593363,0.011817228980362415
