well_id,timestamp,split,score,tranad_recon
129л,2025-12-01 06:12:00,test,0.6359418034553528,0.6359418034553528
129л,2025-12-01 06:14:00,test,0.37036260962486267,0.37036260962486267
129л,2025-12-01 06:16:00,test,0.374981164932251,0.374981164932251
129л,2025-12-01 06:18:00,test,0.40402910113334656,0.40402910113334656
129л,2025-12-01 06:20:00,test,0.37465590238571167,0.37465590238571167
129л,2025-12-01 06:22:00,test,0.4031631648540497,0.4031631648540497
129л,2025-12-01 06:24:00,test,0.4225776791572571,0.4225776791572571
129л,2025-12-01 06:26:00,test,0.42297354340553284,0.42297354340553284
129л,2025-12-01 06:28:00,test,0.520922064781189,0.520922064781189
129л,2025-12-01 06:30:00,test,0.4789884090423584,0.4789884090423584
129л,2025-12-01 06:32:00,test,0.49413904547691345,0.49413904547691345
129л,2025-12-01 06:34:00,test,0.5269446969032288,0.5269446969032288
129л,2025-12-01 06:36:00,test,0.7174409031867981,0.7174409031867981
129л,2025-12-01 06:38:00,test,0.41360893845558167,0.41360893845558167
129л,2025-12-01 06:40:00,test,0.5497718453407288,0.5497718453407288
129л,2025-12-01 06:42:00,test,0.4530835747718811,0.4530835747718811
129л,2025-12-01 06:44:00,test,0.5150927901268005,0.5150927901268005
129л,2025-12-01 06:46:00,test,0.5690403580665588,0.5690403580665588
129л,2025-12-01 06:48:00,test,0.5787864923477173,0.5787864923477173
129л,2025-12-01 06:50:00,test,0.4904414415359497,0.4904414415359497
129л,2025-12-01 06:52:00,test,0.46798133850097656,0.46798133850097656
129л,2025-12-01 06:54:00,test,0.42417123913764954,0.42417123913764954
129л,2025-12-01 06:56:00,test,0.3881388008594513,0.3881388008594513
129л,2025-12-01 06:58:00,test,0.40953344106674194,0.40953344106674194
129л,2025-12-01 07:00:00,test,0.4305982291698456,0.4305982291698456
129л,2025-12-01 07:02:00,test,0.4556712508201599,0.4556712508201599
129л,2025-12-01 07:04:00,test,0.39797675609588623,0.39797675609588623
129л,2025-12-01 07:06:00,test,0.4683171212673187,0.4683171212673187
129л,2025-12-01 07:08:00,test,0.3697982132434845,0.3697982132434845
129л,2025-12-01 07:10:00,test,0.3571182191371918,0.3571182191371918
129л,2025-12-01 07:12:00,test,0.3600563108921051,0.3600563108921051
129л,2025-12-01 07:14:00,test,0.3934592604637146,0.3934592604637146
129л,2025-12-01 07:16:00,test,0.3975366950035095,0.3975366950035095
129л,2025-12-01 07:18:00,test,0.3199600279331207,0.3199600279331207
129л,2025-12-01 07:20:00,test,0.33298778533935547,0.33298778533935547
129л,2025-12-01 07:22:00,test,0.34976035356521606,0.34976035356521606
